"personLabel"
"Henry Francis Fynn"
"Henry Grinnell"
"Henry Kelsey"
"Henry Lidgbird Ball"
"Alonso de León"
"Henry Tureman Allen"
"Henrik Johan Bull"
"Herbert Chermside"
"Hermann Meyer"
"Hernando de Alvarado"
"Hernando de Luque"
"Henrik Greve Blessing"
"Pedro de Sintra"
"Lazare Picault"
"Dionisio Alcalá Galiano"
"Diego de Montemayor"
"Horatio Hale"
"Francisco de Eliza"
"Garcí Manuel de Carbajal"
"Gaspar Pérez de Villagrá"
"Gonzalo López de Haro"
"Hugh Edward Richardson"
"Juan Carrasco"
"Juan Pardo"
"Luca Tarigo"
"Alistair Mackay"
"Michael Barne"
"Lopes Gonçalves"
"F. A. Mitchell-Hedges"
"Nathaniel Portlock"
"Pedro de Alberni"
"William Gordon Burn Murdoch"
"William Lobb"
"Rupert Michell"
"David Sharp"
"Robert Swan"
"David Fairchild"
"Ovshe Norzunov"
"James Drummond"
"Eugene Schuyler"
"William Henry Brewer"
"Artur Chilingarov"
"Chauncey Beadle"
"Percy Sykes"
"Sven Berggren"
"Rafael Perestrello"
"Ian Brooker"
"Yuranigh"
"Afonso Gonçalves de Antona Baldaya"
"John King Davis"
"Yasujirō Yajima"
"John Kirk Townsend"
"Laurence Waddell"
"Simone Melchior"
"Johannes van der Kemp"
"Maes Titianus"
"Henry Hurd Rusby"
"John Cunningham"
"Christen Friis Rottbøll"
